term,abbreviation,synonyms,related,definition,audience,images,uuid
mutagenic,,,mutation,"Causing a mutation, which is a permanent change in the genetic material of a cell or microorganism. A mutation may alter a trait or characteristic of a person or may cause disease. Mutations can be inherited or can occur spontaneously. Before being approved, drugs—including anti-retroviral (ARV) drugs—are tested to assess their potential for mutagenic effects.",,,d6f58fc0-2b7a-4138-a049-2f7d0559dce1
mutation,,,drug resistance,A permanent change in the genetic material of a cell or microorganism. Some mutations can be transmitted when the cell or microorganism replicates. Some HIV mutations cause the virus to become resistant to certain anti-retroviral (ARV) drugs.,Advanced,,81ae8156-7799-4744-bf4e-71172b0caffe
myalgia,,"myodynia, myoneuroalgia",,Muscle pain.,,,91b3c8cb-d5f1-4094-bbfd-0bb761ee9e5b
Mycobacterium avium complex,MAC,,"AIDS-defining condition, opportunistic infection, Mycobacterium Avium-Intracellulare (MAI) infection","An infection caused by a group of bacteria called Mycobacterium avium complex (MAC). MAC include Mycobacterium avium, Mycobacterium intracellulare, and other similar Mycobacteria. MAC bacteria can be found in drinking water, dirt, and household dust. MAC infection usually starts in the lungs and intestines, but can spread throughout the body (disseminated). Symptoms of disseminated MAC infection include fever, night sweats, weight loss, abdominal pain, fatigue, and diarrhea. Most people with healthy immune systems are not affected by the bacteria. In people infected with HIV, MAC infection that is outside of the lungs (extrapulmonary) or that has disseminated is an AIDS-defining condition.",Advanced,,abe4c2bd-df59-4514-abb8-c2da4eb85645
Mycobacterium avium-intracellulare,MAI,,"AIDS-defining condition, opportunistic infection, Mycobacterium Avium Complex (MAC) infection","An infection caused by two closely related and hard-to-distinguish bacteria, Mycobacterium avium and Mycobacterium intracellulare. These two bacteria can be found in drinking water, dirt, and household dust. Most people are not affected by the bacteria, but for people with severely weakened immune systems, the bacteria can cause infection. M. intracellulare tends to cause lung disease, and M. avium tends to spread throughout the body (disseminated). Symptoms of disseminated Mycobacterium avium-intracellulare (MAI) infection include fever, night sweats, weight loss, abdominal pain, fatigue, and diarrhea. In people infected with HIV, MAI infection that is outside of the lungs (extrapulmonary) or that has disseminated is an AIDS-defining condition.",Advanced,,63c15521-e558-415c-a99f-0f33086091dd
Mycobacterium kansasii infection,,,AIDS-defining condition,"An infection caused by the bacteria Mycobacterium kansasii. The bacteria can be found in water, dirt, and food. M. kansasii usually infects the lungs, but can also infect other organs and/or can spread throughout the body (disseminated). Most people with healthy immune systems are not affected by the bacteria. In people infected with HIV, M. kansasii infection that is outside of the lungs (extrapulmonary) or that has disseminated is an AIDS-defining condition.",Advanced,,b792f4ba-13c4-4153-b5c9-935994fc02ea
Mycobacterium tuberculosis,,,tuberculosis,"The bacterium that causes tuberculosis (TB). Mycobacterium tuberculosis usually infects the lungs, but it can also infect other parts of the body, such as the kidneys, spine, and brain. M. tuberculosis is spread when a person with active TB (called TB disease) coughs, sneezes, speaks, or sings, and then a person nearby breathes in the bacteria.",,,912213c5-446a-4620-82fe-2ca7abbbc9ac
mycosis,,,fungus,An infection with or disease caused by a fungus.,,,6e0507d0-05d1-4dfd-ac0b-d3a1e8e558c9
myelin,,,,"A whitish, fatty substance that forms an insulating layer around nerves. Myelin helps nerve signals transmit quickly and efficiently along nerve cells.",,,b6719984-e300-4ce5-89a4-9ebd88f20fe5
myelosuppression,,bone marrow suppression,bone marrow,"Impaired bone marrow function. Myelosuppression reduces bone marrow production of red blood cells, white blood cells, and platelets. Use of certain anti-retroviral (ARV) drugs may cause myelosuppression.",,,64a8cb18-cb61-4e52-9dcd-9b76bfadefa6
myocardial infarction,,,,"A heart attack. Heart attacks occur when blood flow to the heart is reduced or interrupted, causing severe damage or death to the heart muscle (myocardium). Use of some anti-retroviral (ARV) drugs may increase the risk for a myocardial infarction.",,,98ee8ff4-dfa7-4e3c-87e5-491ba26a1ff6
myopathy,,,,A disease of muscle tissue. Use of certain anti-retroviral (ARV) drugs may cause myopathy.,,,0e15793a-a9cf-4633-bb2d-ebf92d4a34db
nadir,,,CD4 Count,"The lowest point. For example, a person's nadir CD4 count is the person's lowest CD4 count.",,,5a90a2a6-cf2a-4809-8bf0-0505008e6c34
National Cancer Institute,NCI,,,"The lead federal agency responsible for cancer-related research and training. The National Cancer Institute (NCI) is also responsible for disseminating cancer-related information and evaluating the incorporation of state-of-the-art cancer treatments into clinical practice. Programs at NCI focus on the cause, diagnosis, prevention, and treatment of cancer; rehabilitation from cancer; and continuing care of people with cancer and their families.",,,d522537c-797c-47da-bf2e-b96db7fd5081
National Center for Complementary and Integrative Health,NCCIH,,Complementary and Alternative Medicine,"The primary federal agency for scientific research on the diverse medical and health care systems, practices, and products that are not generally considered part of conventional (Western) medicine.",,,98131c09-6a25-4036-83df-c624ec5a6e66
National Institute of Allergy and Infectious Diseases,NIAID,,,"A federal agency that supports basic and applied research to prevent, diagnose, and treat infectious and immune-mediated illnesses, including HIV/AIDS and other sexually transmitted infections. The Institute also supports medical research studies on tuberculosis (TB), malaria, autoimmune disorders, asthma, allergies, and illnesses from potential bioterrorism agents.",Advanced,,caf7769a-ab61-403f-9cc3-75ad25e6182e
National Institutes of Health,NIH,,,"A federal agency that is the largest source of funding for medical research in the world. The National Institutes of Health (NIH) is made up of several institutions, each with a specific research focus, such as a particular disease or body system.",,,760b24a1-5f93-4005-bcc3-ac2f93f36b77
National Library of Medicine,NLM,,,"A federal institute that serves as the world’s largest medical library and is the creator of PubMed, MEDLINE, and MedlinePlus. The National Library of Medicine (NLM) collects materials in all areas of biomedicine and health care. NLM makes its resources available around the world, primarily through its electronic information services.",,,7f18cb23-75a1-4707-85e2-e940968ef778
natural history study,,,,"A type of medical research study. In natural history studies, researchers examine how a disease or medical condition develops over time. Researchers follow participants who are at risk for or have a specific disease or condition to determine how specific factors, such as family history, age, and occupational exposure, affect the development or progression of the disease or condition. Data collected during a natural history study also provide information on how best to treat a condition or disease.",,,d9f0a090-6e61-4ed2-a0bb-f66d002fceb8
natural killer,NK,,"Lymphocyte, white blood cell","A type of lymphocyte. Natural killer (NK) cells contain enzymes that can kill other cells, especially tumor cells and cells infected by viruses.",,,9b761374-4b16-44db-af95-7c29e67de4df
nemaline rod myopathy,NM,"HIV-associated adult-onset nemaline myopathy, rod body disease",,"A rare neuromuscular disorder characterized by the presence of rod-like structures (nemaline bodies) in the muscle fibers and by muscle weakness. Muscle weakness can occur throughout the body, but is typically most severe in the neck, face, and limbs. Nemaline rod myopathy (NM) in its most severe form can be life-threatening. NM can occur as a complication of HIV infection.",Advanced,,f833be98-a4fb-4554-a6ff-d9659f28f55a
neonatal,,,,Pertaining to an infant during the first 28 days after birth.,,,7e83299b-dde2-4b70-8905-dcca14c75acf
neoplasm,,,,New abnormal growth of tissue. Neoplasms may be benign (not cancerous) or malignant (cancerous). Neoplasms are commonly called tumors.,,,d049160a-0bdf-4bc5-a7ef-3c2a1acf9106
nephritis,,,kidneys,Inflammation of the kidney.,,,a73d58c2-cb01-47b2-a490-0a90969954d7
nephrolithiasis,,,kidneys,Calculi (stones) in the kidney. Use of some anti-retroviral (ARV) drugs may cause nephrolithiasis.,,,4fbf8053-7f28-4182-a428-560e797683bf
nephrotoxic,,,kidneys,Toxic or destructive to the kidneys. Certain anti-retroviral (ARV) drugs can have nephrotoxic effects.,,,9d42dce0-b7d6-45cd-a1d5-cf2d23d14a56
neuralgia,,,,"Sharp, shooting pain along a nerve or group of nerves.",,,60468420-ca24-4cfa-a491-2fbfdf65397a
NeuroAIDS,,,"Central Nervous System, Peripheral Nervous System","A group of neurological disorders caused primarily by HIV damage to the central and peripheral nervous systems. Examples of neuroAIDS disorders include myelopathy, sensory neuropathy, and AIDS dementia.",Advanced,,aedd87d0-3bbc-4b0f-8ec6-8da389853823
neuropathy,,,Peripheral Nervous System,"Damage or degeneration of the nerves, especially the peripheral nerves. Symptoms of neuropathy depend on which nerves are affected and can include pain, tingling, numbness, or weakness. HIV-related neuropathy may be due to HIV infection or use of certain anti-retroviral (ARV) drugs.",Advanced,,90c76c38-36e2-440d-bb6a-0d042c6a980c
neutropenia,,,Neutrophil,Lower-than-normal number of neutrophils (a type of white blood cell) in the blood. Moderate to severe neutropenia can increase the risk of bacterial and fungal infections. Neutropenia may occur as a result of HIV infection or use of some anti-retroviral (ARV) drugs.,Advanced,,5d188b13-0d96-4dd3-9bb6-795b349ba2ff
neutrophil,,,white blood cell,"A type of white blood cell that fights infection by engulfing and killing foreign substances, such as bacteria.",,,ce71058f-88bd-452b-9c5e-b9a6d8626463
new drug application,NDA,,Food and Drug Administration,A drug sponsor's request to the Food and Drug Administration (FDA) for approval to sell and market a new drug in the United States. A new drug application (NDA) includes enough information for the FDA to determine whether the new drug is safe and effective; whether the drug’s benefits outweigh its risks; whether the proposed drug label (package insert) is appropriate; and whether the drug manufacturing standards are adequate. Information included in a NDA is based on laboratory and animal preclinical studies and testing in humans (Phase 1-4 clinical trials).,,https://aidsinfo.nih.gov/images/glossaryimages/Clinical-Trial-600.jpg,29cb5fdc-8360-44fe-b16b-390b1952a3da
NNRTI-sparing regimen,,,non-nucleoside reverse transcriptase inhibitor,Combination anti-retroviral therapy (ART) that does not include anti-retroviral (ARV) drugs from the non-nucleoside reverse transcriptase inhibitor (NNRTI) drug class. Excluding NNRTIs from an HIV treatment regimen saves drugs in the NNRTI class for future use.,Advanced,,27caf637-aaf5-4fd4-9493-b14414d52d25
